year,events_urls,stage,r_o,country,contestant,song,points,place,qualified
2020,https://eurovision.tv/event/rotterdam-2020,SF2,10,Switzerland,Gjon's Tears,Répondez-moi,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,11,Denmark,Ben & Tan,YES,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,12,Albania,Arilena Ara,Fall From The Sky,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,13,Finland,Aksel,Looking Back,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,14,Armenia,Athena Manoukian,Chains On You,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,15,Portugal,Elisa,Medo De Sentir,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,16,Georgia,Tornike Kipiani,Take Me As I Am,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,17,Bulgaria,VICTORIA,Tears Getting Sober,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,18,Latvia,Samanta Tīna,Still Breathing,NA,NA,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,1,Malta,Michela,Chameleon,107,14,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,2,Albania,Jonida Maliqi,Ktheju tokës,90,17,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,3,Czech Republic,Lake Malawi,Friend of a Friend,157,11,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,4,Germany,S!sters,Sister,24,25,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,5,Russia,Sergey Lazarev,Scream,370,3,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,6,Denmark,Leonora,Love Is Forever,120,12,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,7,San Marino,Serhat,Say Na Na Na,77,19,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,8,North Macedonia,Tamara Todevska,Proud,305,7,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,9,Sweden,John Lundvik,Too Late For Love,334,5,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,10,Slovenia,Zala Kralj & Gašper Šantl,Sebi,105,15,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,11,Cyprus,Tamta,Replay,109,13,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,12,The Netherlands,Duncan Laurence,Arcade,498,1,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,13,Greece,Katerine Duska,Better Love,74,21,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,14,Israel,Kobi Marimi,Home,35,23,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,15,Norway,KEiiNO,Spirit in the Sky,331,6,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,16,United Kingdom,Michael Rice,Bigger Than Us,11,26,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,17,Iceland,Hatari,Hatrið mun sigra,232,10,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,18,Estonia,Victor Crone,Storm,76,20,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,19,Belarus,ZENA,Like It,31,24,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,20,Azerbaijan,Chingiz,Truth,302,8,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,21,France,Bilal Hassani,Roi,105,16,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,22,Italy,Mahmood,Soldi,472,2,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,23,Serbia,Nevena Božović,Kruna,89,18,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,24,Switzerland,Luca Hänni,She Got Me,364,4,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,25,Australia,Kate Miller-Heidke,Zero Gravity,284,9,NA
2019,https://eurovision.tv/event/tel-aviv-2019,Final,26,Spain,Miki,La Venda,54,22,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,1,Cyprus,Tamta,Replay,149,9,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,2,Montenegro,D mol,Heaven,46,16,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,3,Finland,Darude feat. Sebastian Rejman,Look Away,23,17,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,4,Poland,Tulia,Fire of Love (Pali się),120,11,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,5,Slovenia,Zala Kralj & Gašper Šantl,Sebi,167,6,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,6,Czech Republic,Lake Malawi,Friend of a Friend,242,2,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,7,Hungary,Joci Pápai,Az én apám,97,12,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,8,Belarus,ZENA,Like It,122,10,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,9,Serbia,Nevena Božović,Kruna,156,7,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,10,Belgium,Eliot,Wake Up,70,13,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,11,Georgia,Oto Nemsadze,Keep on Going,62,14,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,12,Australia,Kate Miller-Heidke,Zero Gravity,261,1,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,13,Iceland,Hatari,Hatrið mun sigra,221,3,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,14,Estonia,Victor Crone,Storm,198,4,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,15,Portugal,Conan Osiris,Telemóveis,51,15,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,16,Greece,Katerine Duska,Better Love,185,5,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF1,17,San Marino,Serhat,Say Na Na Na,150,8,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,1,Armenia,Srbuk,Walking Out,49,16,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,2,Ireland,Sarah McTernan,22,16,18,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,3,Moldova,Anna Odobescu,Stay,85,12,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,4,Switzerland,Luca Hänni,She Got Me,232,4,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,5,Latvia,Carousel,That Night,50,15,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,6,Romania,Ester Peony,On a Sunday,71,13,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,7,Denmark,Leonora,Love Is Forever,94,10,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,8,Sweden,John Lundvik,Too Late For Love,238,3,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,9,Austria,PÆNDA,Limits,21,17,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,10,Croatia,Roko,The Dream,64,14,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,11,Malta,Michela,Chameleon,157,8,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,12,Lithuania,Jurij Veklenko,Run With The Lions,93,11,NA
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,13,Russia,Sergey Lazarev,Scream,217,6,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,14,Albania,Jonida Maliqi,Ktheju tokës,96,9,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,15,Norway,KEiiNO,Spirit in the Sky,210,7,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,16,The Netherlands,Duncan Laurence,Arcade,280,1,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,17,North Macedonia,Tamara Todevska,Proud,239,2,qualified
2019,https://eurovision.tv/event/tel-aviv-2019,SF2,18,Azerbaijan,Chingiz,Truth,224,5,qualified
2018,https://eurovision.tv/event/lisbon-2018,Final,1,Ukraine,MELOVIN,Under The Ladder,130,17,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,2,Spain,Amaia y Alfred,Tu Canción,61,23,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,3,Slovenia,Lea Sirk,"Hvala, ne!",64,22,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,4,Lithuania,Ieva Zasimauskaitė,When We're Old,181,12,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,5,Austria,Cesár Sampson,Nobody But You,342,3,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,6,Estonia,Elina Nechayeva,La Forza,245,8,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,7,Norway,Alexander Rybak,That's How You Write A Song,144,15,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,8,Portugal,Cláudia Pascoal,O Jardim,39,26,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,9,United Kingdom,SuRie,Storm,48,24,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,10,Serbia,Sanja Ilić & Balkanika,Nova Deca,113,19,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,11,Germany,Michael Schulte,You Let Me Walk Alone,340,4,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,12,Albania,Eugent Bushpepa,Mall,184,11,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,13,France,Madame Monsieur,Mercy,173,13,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,14,Czech Republic,Mikolas Josef,Lie To Me,281,6,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,15,Denmark,Rasmussen,Higher Ground,226,9,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,16,Australia,Jessica Mauboy,We Got Love,99,20,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,17,Finland,Saara Aalto,Monsters,46,25,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,18,Bulgaria,EQUINOX,Bones,166,14,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,19,Moldova,DoReDoS,My Lucky Day,209,10,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,20,Sweden,Benjamin Ingrosso,Dance You Off,274,7,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,21,Hungary,AWS,Viszlát Nyár,93,21,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,22,Israel,Netta,TOY,529,1,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,23,The Netherlands,Waylon,Outlaw In 'Em,121,18,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,24,Ireland,Ryan O'Shaughnessy,Together,136,16,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,25,Cyprus,Eleni Foureira,Fuego,436,2,NA
2018,https://eurovision.tv/event/lisbon-2018,Final,26,Italy,Ermal Meta e Fabrizio Moro,Non Mi Avete Fatto Niente,308,5,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,1,Azerbaijan,Aisel,X My Heart,94,11,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,2,Iceland,Ari Ólafsson,Our Choice,15,19,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,3,Albania,Eugent Bushpepa,Mall,162,8,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,4,Belgium,Sennek,A Matter Of Time,91,12,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,5,Czech Republic,Mikolas Josef,Lie To Me,232,3,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,6,Lithuania,Ieva Zasimauskaitė,When We're Old,119,9,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,7,Israel,Netta,TOY,283,1,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,8,Belarus,ALEKSEEV,FOREVER,65,16,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,9,Estonia,Elina Nechayeva,La Forza,201,5,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,10,Bulgaria,EQUINOX,Bones,177,7,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,11,North Macedonia,Eye Cue,Lost And Found,24,18,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,12,Croatia,Franka,Crazy,63,17,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,13,Austria,Cesár Sampson,Nobody But You,231,4,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,14,Greece,Yianna Terzi,Oniro Mou,81,14,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,15,Finland,Saara Aalto,Monsters,108,10,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,16,Armenia,Sevak Khanagyan,Qami,79,15,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,17,Switzerland,ZiBBZ,Stones,86,13,NA
2018,https://eurovision.tv/event/lisbon-2018,SF1,18,Ireland,Ryan O'Shaughnessy,Together,179,6,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF1,19,Cyprus,Eleni Foureira,Fuego,262,2,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,1,Norway,Alexander Rybak,That's How You Write A Song,266,1,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,2,Romania,The Humans,Goodbye,107,11,NA
2018,https://eurovision.tv/event/lisbon-2018,SF2,3,Serbia,Sanja Ilić & Balkanika,Nova Deca,117,9,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,4,San Marino,Jessika featuring Jenifer Brening,Who We Are,28,17,NA
2018,https://eurovision.tv/event/lisbon-2018,SF2,5,Denmark,Rasmussen,Higher Ground,204,5,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,6,Russia,Julia Samoylova,I Won't Break,65,15,NA
2018,https://eurovision.tv/event/lisbon-2018,SF2,7,Moldova,DoReDoS,My Lucky Day,235,3,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,8,The Netherlands,Waylon,Outlaw In 'Em,174,7,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,9,Australia,Jessica Mauboy,We Got Love,212,4,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,10,Georgia,Ethno-Jazz Band Iriao,For You,24,18,NA
2018,https://eurovision.tv/event/lisbon-2018,SF2,11,Poland,Gromee feat. Lukas Meijer,Light Me Up,81,14,NA
2018,https://eurovision.tv/event/lisbon-2018,SF2,12,Malta,Christabelle,Taboo,101,13,NA
2018,https://eurovision.tv/event/lisbon-2018,SF2,13,Hungary,AWS,Viszlát Nyár,111,10,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,14,Latvia,Laura Rizzotto,Funny Girl,106,12,NA
2018,https://eurovision.tv/event/lisbon-2018,SF2,15,Sweden,Benjamin Ingrosso,Dance You Off,254,2,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,16,Montenegro,Vanja Radovanović,Inje,40,16,NA
2018,https://eurovision.tv/event/lisbon-2018,SF2,17,Slovenia,Lea Sirk,"Hvala, ne!",132,8,qualified
2018,https://eurovision.tv/event/lisbon-2018,SF2,18,Ukraine,MELOVIN,Under The Ladder,179,6,qualified
2017,https://eurovision.tv/event/kyiv-2017,Final,1,Israel,IMRI,I Feel Alive,39,23,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,2,Poland,Kasia Moś,Flashlight,64,22,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,3,Belarus,Naviband,Story of My Life,83,17,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,4,Austria,Nathan Trent,Running On Air,93,16,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,5,Armenia,Artsvik,Fly With Me,79,18,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,6,The Netherlands,OG3NE,Lights and Shadows,150,11,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,7,Moldova,Sunstroke Project,Hey Mamma,374,3,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,8,Hungary,Joci Pápai,Origo,200,8,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,9,Italy,Francesco Gabbani,Occidentali's Karma,334,6,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,10,Denmark,Anja,Where I Am,77,20,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,11,Portugal,Salvador Sobral,Amar Pelos Dois,758,1,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,12,Azerbaijan,Dihaj,Skeletons,120,14,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,13,Croatia,Jacques Houdek,My Friend,128,13,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,14,Australia,Isaiah,Don't Come Easy,173,9,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,15,Greece,Demy,This is Love,77,19,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,16,Spain,Manel Navarro,Do It For Your Lover,5,26,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,17,Norway,JOWST,Grab The Moment,158,10,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,18,United Kingdom,Lucie Jones,Never Give Up On You,111,15,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,19,Cyprus,Hovig,Gravity,68,21,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,20,Romania,Ilinca ft. Alex Florea,Yodel It!,282,7,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,21,Germany,Levina,Perfect Life,6,25,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,22,Ukraine,O.Torvald,Time,36,24,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,23,Belgium,Blanche,City Lights,363,4,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,24,Sweden,Robin Bengtsson,I Can't Go On,344,5,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,25,Bulgaria,Kristian Kostov,Beautiful Mess,615,2,NA
2017,https://eurovision.tv/event/kyiv-2017,Final,26,France,Alma,Requiem,135,12,NA
2017,https://eurovision.tv/event/kyiv-2017,SF1,1,Sweden,Robin Bengtsson,I Can't Go On,227,3,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,2,Georgia,Tamara Gachechiladze,Keep The Faith,99,11,NA
2017,https://eurovision.tv/event/kyiv-2017,SF1,3,Australia,Isaiah,Don't Come Easy,160,6,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,4,Albania,Lindita,World,76,14,NA
2017,https://eurovision.tv/event/kyiv-2017,SF1,5,Belgium,Blanche,City Lights,165,4,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,6,Montenegro,Slavko Kalezić,Space,56,16,NA
2017,https://eurovision.tv/event/kyiv-2017,SF1,7,Finland,Norma John,Blackbird,92,12,NA
2017,https://eurovision.tv/event/kyiv-2017,SF1,8,Azerbaijan,Dihaj,Skeletons,150,8,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,9,Portugal,Salvador Sobral,Amar Pelos Dois,370,1,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,10,Greece,Demy,This is Love,115,10,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,11,Poland,Kasia Moś,Flashlight,119,9,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,12,Moldova,Sunstroke Project,Hey Mamma,291,2,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,13,Iceland,Svala,Paper,60,15,NA
2017,https://eurovision.tv/event/kyiv-2017,SF1,14,Czech Republic,Martina Bárta,My Turn,83,13,NA
2017,https://eurovision.tv/event/kyiv-2017,SF1,15,Cyprus,Hovig,Gravity,164,5,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,16,Armenia,Artsvik,Fly With Me,152,7,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF1,17,Slovenia,Omar Naber,On My Way,36,17,NA
2017,https://eurovision.tv/event/kyiv-2017,SF1,18,Latvia,Triana Park,Line,21,18,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,1,Serbia,Tijana Bogićević,In Too Deep,98,11,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,2,Austria,Nathan Trent,Running On Air,147,7,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,3,North Macedonia,Jana Burčeska,Dance Alone,69,15,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,4,Malta,Claudia Faniello,Breathlessly,55,16,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,5,Romania,Ilinca ft. Alex Florea,Yodel It!,174,6,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,6,The Netherlands,OG3NE,Lights and Shadows,200,4,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,7,Hungary,Joci Pápai,Origo,231,2,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,8,Denmark,Anja,Where I Am,101,10,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,9,Ireland,Brendan Murray,Dying to Try,86,13,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,10,San Marino,Valentina Monetta and Jimmie Wilson,Spirit of the Night,1,18,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,11,Croatia,Jacques Houdek,My Friend,141,8,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,12,Norway,JOWST,Grab The Moment,189,5,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,13,Switzerland,Timebelle,Apollo,97,12,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,14,Belarus,Naviband,Story of My Life,110,9,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,15,Bulgaria,Kristian Kostov,Beautiful Mess,403,1,qualified
2017,https://eurovision.tv/event/kyiv-2017,SF2,16,Lithuania,Fusedmarc,Rain Of Revolution,42,17,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,17,Estonia,Koit Toome & Laura,Verona,85,14,NA
2017,https://eurovision.tv/event/kyiv-2017,SF2,18,Israel,IMRI,I Feel Alive,207,3,qualified
2016,https://eurovision.tv/event/stockholm-2016,Final,1,Belgium,Laura Tesoro,What's The Pressure,181,10,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,2,Czech Republic,Gabriela Gunčíková,I Stand,41,25,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,3,The Netherlands,Douwe Bob,Slow Down,153,11,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,4,Azerbaijan,Samra,Miracle,117,17,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,5,Hungary,Freddie,Pioneer,108,19,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,6,Italy,Francesca Michielin,No Degree Of Separation,124,16,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,7,Israel,Hovi Star,Made Of Stars,135,14,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,8,Bulgaria,Poli Genova,If Love Was A Crime,307,4,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,9,Sweden,Frans,If I Were Sorry,261,5,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,10,Germany,Jamie-Lee,Ghost,11,26,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,11,France,Amir,J'ai cherché,257,6,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,12,Poland,Michał Szpak,Color Of Your Life,229,8,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,13,Australia,Dami Im,Sound Of Silence,511,2,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,14,Cyprus,Minus One,Alter Ego,96,21,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,15,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),115,18,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,16,Lithuania,Donny Montell,I've Been Waiting for This Night,200,9,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,17,Croatia,Nina Kraljić,Lighthouse,73,23,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,18,Russia,Sergey Lazarev,You Are The Only One,491,3,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,19,Spain,Barei,Say Yay!,77,22,NA
2016,https://eurovision.tv/event/stockholm-2016,Final,20,Latvia,Justs,Heartbeat,132,15,NA
