year,date,stage,venue,city,host_country,presented_by,multicamera_director,host_broadcaster,executive_supervisor,executive_producer
1978,1978-04-22,Final,Palais des Congrès,Paris,France,"Denise Fabre, Léon Zitrone",NA,TF1,Frank Naef,NA
1979,1979-03-31,Final,Binyanei Ha'ouama Centre,Jerusalem,Israel,"Yardena Arazi, Daniel Peer",NA,IBA,Frank Naef,NA
1980,1980-04-19,Final,Nederlands Congresgebouw,The Hague,Netherlands,Marlous Fluitsma,NA,NA,Frank Naef,NA
1981,1981-04-04,Final,"Simmonscourt Pavillion, Royal Dublin Society",Dublin,Ireland,Doireann Ní Bhríain,Ian McGarry,NA,Frank Naef,NA
1982,1982-04-24,Final,Harrogate Conference Centre,Harrogate,United Kingdom,Jan Leeming,Michael Hurll,NA,Frank Naef,Michael Hurll
1983,1983-04-23,Final,Rudi-Sedlmayer-Halle,Munich,Germany,Marlene Charell,Rainer Bertram,ARD,Frank Naef,"Christian Hayer, Gunther Lebram"
1984,1984-05-05,Final,Théâtre Municipal,Luxembourg,Luxembourg,Desirée Nosbusch,René Steichen,RTL,Frank Naef,Ray Van Cant
1985,1985-05-04,Final,Scandinavium,Gothenburg,Sweden,Lill Lindfors,NA,NA,Frank Naef,NA
1986,1986-05-03,Final,Grieghallen,Bergen,Norway,Åse Kleveland,John Andreassen,NA,Frank Naef,NA
1987,1987-05-09,Final,Palais de Centenaire,Brussels,Belgium,Viktor Laszlo,Jacques Bourton,NA,Frank Naef,NA
1988,1988-04-30,Final,Simmonscourt Pavillion of the Royal Dublin Society,Dublin,Ireland,"Pat Kenny, Michelle Rocca",Declan Lowney,NA,Frank Naef,NA
1989,1989-05-06,Final,Palais de Beaulieu,Lausanne,Switzerland,"Jacques Deschenaux, Lolita Morena",Alain Bloch,NA,Frank Naef,NA
1990,1990-05-05,Final,Koncertna Dvorana Vatroslav Lisinski,Zagreb,Yugoslavia,"Olivar Mlakar, Helga Vlahovic",Nenad Puhovski,JRT,Frank Naef,NA
1991,1991-05-04,Final,Studio 15 de Cinecittà,Rome,Italy,"Gigliola Cinguetti, Toto Cutugno",Riccardo Donna,NA,Frank Naef,NA
1992,1992-05-09,Final,MalmöMässan,Malmö,Sweden,"Lydia Cappolicchio, Harald Treutiger",Kåge Gimtell,NA,Frank Naef,NA
1993,1993-05-15,Final,Green Glens Arena,Millstreet,Ireland,Fionnuala Sweeney,Anita Notaro,NA,Christian Clausen,NA
1994,1994-04-30,Final,Point Theatre,Dublin,Ireland,"Cynthia Ni Mhurchú, Gerry Ryan",Patrick Cowap,NA,Christian Clausen,NA
1995,1995-05-13,Final,Point Theatre,Dublin,Ireland,Mary Kennedy,John Comiskey,NA,Christian Clausen,NA
1996,1996-05-18,Final,Oslo Spektrum,Oslo,Norway,"Ingvild Bryn, Morten Harket",Pal Veiglum,NA,Christine Marchal-Ortiz,Odd Arvid Strømstad
1997,1997-05-03,Final,The Point Theatre,Dublin,Ireland,"Carrie Crowley, Ronan Keating",Ian McGarry,NA,Marie-Claire Vionnet,NA
1998,1998-05-09,Final,National Indoor Arena,Birmingham,United Kingdom,"Terry Wogan, Ulrika Jonsson",NA,NA,Christine Marchal-Ortiz,NA
1999,1999-05-29,Final,Usshishkin Hall of the International Convention Centre,Jerusalem,Israel,"Yigal Ravid, Dafna Dekel, Sigal Shahamon",Hagai Mautner,IBA,Christine Marchal-Ortiz,Amnon Barkai
2000,2000-05-13,Final,Globe Arena,Stockholm,Sweden,"Kattis Åhlström, Anders Lundin",Mattias Bratten,NA,Christine Marchal-Ortiz,Svante Stockselius
2001,2001-05-12,Final,Parkenstadion,Copenhagen,Denmark,"Natasja Crone, Søren Pilmark",Jan Frifelt,NA,Christine Marchal-Ortiz,Jørgen Ramskov
2002,2002-05-25,Final,Saku Suurhall,Tallinn,Estonia,"Annely Peebo, Marko Matvere",Marius Bratten,NA,Christine Marchal-Ortiz,Juhan Paadam
2003,2003-05-24,Final,Skonto Olympic Hall,Riga,Latvia,"Marie N., Renars Kaupers",Sven Stojanovic,NA,Sarah Yuen,NA
2004,2004-05-12,SF0,Abdi Ipekci Sport Center,Istanbul,Turkey,"Meltem Cumbul, Korhan Abay",Sven Stojanovic,TRT,Svante Stockselius,NA
2004,2004-05-15,Final,Abdi Ipekci Sport Center,Istanbul,Turkey,"Meltem Cumbul, Korhan Abay",Sven Stojanovic,TRT,Svante Stockselius,NA
2005,2005-05-19,SF0,Palace of Sports,Kyiv,Ukraine,"Maria Efrosinina, Pavlo Shylko",Sven Stojanovic,NTU,Svante Stockselius,Pavlo Grytsak
2005,2005-05-21,Final,Palace of Sports,Kyiv,Ukraine,"Maria Efrosinina, Pavlo Shylko",Sven Stojanovic,NTU,Svante Stockselius,Pavlo Grytsak
2006,2006-05-18,SF0,Olympic Indoor Hall,Athens,Greece,"Maria Menounos, Sakis Rouvas",Volker Weicker,NA,Svante Stockselius,Fotini Yannoulatou
2006,2006-05-20,Final,Olympic Indoor Hall,Athens,Greece,"Maria Menounos, Sakis Rouvas",Volker Weicker,NA,Svante Stockselius,Fotini Yannoulatou
2007,2007-05-10,SF0,Hartwall Arena,Helsinki,Finland,"Jaana Pelkonen, Mikko Leppilampi",Timo Suomi,NA,Svante Stockselius,Heikki Seppälä
2007,2007-05-12,Final,Hartwall Arena,Helsinki,Finland,"Jaana Pelkonen, Mikko Leppilampi",Timo Suomi,NA,Svante Stockselius,Heikki Seppälä
2008,2008-05-20,SF1,Belgrade Arena,Belgrade,Serbia,"Jovana Janković, Željko Joksimović",NA,NA,Svante Stockselius,Sandra Šuša
2008,2008-05-22,SF2,Belgrade Arena,Belgrade,Serbia,"Jovana Janković, Željko Joksimović",NA,NA,Svante Stockselius,Sandra Šuša
2008,2008-05-24,Final,Belgrade Arena,Belgrade,Serbia,"Jovana Janković, Željko Joksimović",NA,NA,Svante Stockselius,Sandra Šuša
2009,2009-05-12,SF1,Olimpiysky Arena,Moscow,Russia,"Alsou, Ivan Urgant",Andrey Boltenko,NA,Svante Stockselius,Yury Aksyuta
2009,2009-05-14,SF2,Olimpiysky Arena,Moscow,Russia,"Alsou, Ivan Urgant",Andrey Boltenko,NA,Svante Stockselius,Yury Aksyuta
2009,2009-05-16,Final,Olimpiysky Arena,Moscow,Russia,"Alsou, Ivan Urgant",Andrey Boltenko,NA,Svante Stockselius,Yury Aksyuta
2010,2010-05-25,SF1,Telenor Arena,Oslo,Norway,"Erik Solbakken, Haddy Jatou N'jie, Nadia Hasnaoui","Ole Jørgen Grønlund, Kim Strømstad",NA,Svante Stockselius,Jon Ola Sand
2010,2010-05-27,SF2,Telenor Arena,Oslo,Norway,"Erik Solbakken, Haddy Jatou N'jie, Nadia Hasnaoui","Ole Jørgen Grønlund, Kim Strømstad",NA,Svante Stockselius,Jon Ola Sand
2010,2010-05-29,Final,Telenor Arena,Oslo,Norway,"Erik Solbakken, Haddy Jatou N'jie, Nadia Hasnaoui","Ole Jørgen Grønlund, Kim Strømstad",NA,Svante Stockselius,Jon Ola Sand
2011,2011-05-10,SF1,Düsseldorf Arena,Düsseldorf,Germany,"Anke Engelke, Judith Rakers, Stefan Raab",Ladislaus Kiraly,NA,Jon Ola Sand,"Ralf Quibeldey, Thomas Schreiber"
2011,2011-05-12,SF2,Düsseldorf Arena,Düsseldorf,Germany,"Anke Engelke, Judith Rakers, Stefan Raab",Ladislaus Kiraly,NA,Jon Ola Sand,"Ralf Quibeldey, Thomas Schreiber"
2011,2011-05-14,Final,Düsseldorf Arena,Düsseldorf,Germany,"Anke Engelke, Judith Rakers, Stefan Raab",Ladislaus Kiraly,NA,Jon Ola Sand,"Ralf Quibeldey, Thomas Schreiber"
2012,2012-05-22,SF1,Crystal Hall,Baku,Azerbaijan,"Leyla Aliyeva, Eldar Gasimov, Nargiz Birk-Petersen",Ladislaus Kiraly,NA,Jon Ola Sand,Adil Kerimli
2012,2012-05-24,SF2,Crystal Hall,Baku,Azerbaijan,"Leyla Aliyeva, Eldar Gasimov, Nargiz Birk-Petersen",Ladislaus Kiraly,NA,Jon Ola Sand,Adil Kerimli
2012,2012-05-26,Final,Crystal Hall,Baku,Azerbaijan,"Leyla Aliyeva, Eldar Gasimov, Nargiz Birk-Petersen",Ladislaus Kiraly,NA,Jon Ola Sand,Adil Kerimli
2013,2013-05-14,SF1,Malmö Arena,Malmö,Sweden,Petra Mede,"Daniel Jelinek, Robin Hofwander, Sven Stojanovic",NA,Jon Ola Sand,Martin Österdahl
2013,2013-05-16,SF2,Malmö Arena,Malmö,Sweden,Petra Mede,"Daniel Jelinek, Robin Hofwander, Sven Stojanovic",NA,Jon Ola Sand,Martin Österdahl
2013,2013-05-18,Final,Malmö Arena,Malmö,Sweden,Petra Mede,"Daniel Jelinek, Robin Hofwander, Sven Stojanovic",NA,Jon Ola Sand,Martin Österdahl
2014,2014-05-06,SF1,B&W Hallerne,Copenhagen,Denmark,"Nikolaj Koppel, Pilou Asbæk, Lise Rønne",Per Zachariassen,NA,Jon Ola Sand,Pernille Gaardbo
2014,2014-05-08,SF2,B&W Hallerne,Copenhagen,Denmark,"Nikolaj Koppel, Pilou Asbæk, Lise Rønne",Per Zachariassen,NA,Jon Ola Sand,Pernille Gaardbo
2014,2014-05-10,Final,B&W Hallerne,Copenhagen,Denmark,"Nikolaj Koppel, Pilou Asbæk, Lise Rønne",Per Zachariassen,NA,Jon Ola Sand,Pernille Gaardbo
2015,2015-05-19,SF1,Wiener Stadthalle,Vienna,Austria,"Mirjam Weichselbraun, Alice Tumler, Arabella Kiesbauer, Conchita Wurst",Kurt Pongratz,NA,Jon Ola Sand,Edgar Böhm
2015,2015-05-21,SF2,Wiener Stadthalle,Vienna,Austria,"Mirjam Weichselbraun, Alice Tumler, Arabella Kiesbauer, Conchita Wurst",Kurt Pongratz,NA,Jon Ola Sand,Edgar Böhm
2015,2015-05-23,Final,Wiener Stadthalle,Vienna,Austria,"Mirjam Weichselbraun, Alice Tumler, Arabella Kiesbauer, Conchita Wurst",Kurt Pongratz,NA,Jon Ola Sand,Edgar Böhm
2016,2016-05-10,SF1,Globe Arena,Stockholm,Sweden,"Måns Zelmerlöw, Petra Mede","Daniel Jelinek, Robin Hoffwander",NA,Jon Ola Sand,"Martin Österdahl, Johan Bernhagen"
2016,2016-05-12,SF2,Globe Arena,Stockholm,Sweden,"Måns Zelmerlöw, Petra Mede","Daniel Jelinek, Robin Hoffwander",NA,Jon Ola Sand,"Martin Österdahl, Johan Bernhagen"
2016,2016-05-14,Final,Globe Arena,Stockholm,Sweden,"Måns Zelmerlöw, Petra Mede","Daniel Jelinek, Robin Hoffwander",NA,Jon Ola Sand,"Martin Österdahl, Johan Bernhagen"
2017,2017-05-09,SF1,International Exhibition Centre,Kyiv,Ukraine,"Oleksandr Skichko, Volodymyr Ostapchuk, Timur Miroshnychenko",NA,NTU,Jon Ola Sand,NA
2017,2017-05-11,SF2,International Exhibition Centre,Kyiv,Ukraine,"Oleksandr Skichko, Volodymyr Ostapchuk, Timur Miroshnychenko",NA,NTU,Jon Ola Sand,NA
2017,2017-05-13,Final,International Exhibition Centre,Kyiv,Ukraine,"Oleksandr Skichko, Volodymyr Ostapchuk, Timur Miroshnychenko",NA,NTU,Jon Ola Sand,NA
2018,2018-05-08,SF1,Lisbon Arena,Lisbon,Portugal,"Filomena Cautela, Sílvia Alberto, Daniela Ruah, Catarina Furtado","Troels Lund, Paula Macedo, Pedro Miguel",NA,Jon Ola Sand,Jõao Nuno Nogeira
2018,2018-05-10,SF2,Lisbon Arena,Lisbon,Portugal,"Filomena Cautela, Sílvia Alberto, Daniela Ruah, Catarina Furtado","Troels Lund, Paula Macedo, Pedro Miguel",NA,Jon Ola Sand,Jõao Nuno Nogeira
2018,2018-05-12,Final,Lisbon Arena,Lisbon,Portugal,"Filomena Cautela, Sílvia Alberto, Daniela Ruah, Catarina Furtado","Troels Lund, Paula Macedo, Pedro Miguel",NA,Jon Ola Sand,Jõao Nuno Nogeira
2019,2019-05-14,SF1,Expo Tel Aviv (International Convention Center),Tel Aviv,Israel,"Bar Refaeli, Erez Tal, Assi Azar, Lucy Ayoub","Amir Ukrainitz, Sivan Magazanik",NA,Jon Ola Sand,Zivit Davidovitch
2019,2019-05-16,SF2,Expo Tel Aviv (International Convention Center),Tel Aviv,Israel,"Bar Refaeli, Erez Tal, Assi Azar, Lucy Ayoub","Amir Ukrainitz, Sivan Magazanik",NA,Jon Ola Sand,Zivit Davidovitch
2019,2019-05-18,Final,Expo Tel Aviv (International Convention Center),Tel Aviv,Israel,"Bar Refaeli, Erez Tal, Assi Azar, Lucy Ayoub","Amir Ukrainitz, Sivan Magazanik",NA,Jon Ola Sand,Zivit Davidovitch
