year,events_urls,round,from,by,to,points
1959,https://eurovision.tv/event/cannes-1959,Final,The Netherlands,NA,United Kingdom,5
1959,https://eurovision.tv/event/cannes-1959,Final,The Netherlands,NA,Sweden,3
1959,https://eurovision.tv/event/cannes-1959,Final,The Netherlands,NA,Belgium,1
1959,https://eurovision.tv/event/cannes-1959,Final,The Netherlands,NA,Denmark,1
1959,https://eurovision.tv/event/cannes-1959,Final,United Kingdom,NA,Switzerland,5
1959,https://eurovision.tv/event/cannes-1959,Final,United Kingdom,NA,Belgium,2
1959,https://eurovision.tv/event/cannes-1959,Final,United Kingdom,NA,Denmark,2
1959,https://eurovision.tv/event/cannes-1959,Final,United Kingdom,NA,The Netherlands,1
1960,https://eurovision.tv/event/london-1960,Final,Austria,NA,United Kingdom,3
1960,https://eurovision.tv/event/london-1960,Final,Austria,NA,Germany,2
1960,https://eurovision.tv/event/london-1960,Final,Austria,NA,Switzerland,2
1960,https://eurovision.tv/event/london-1960,Final,Austria,NA,France,1
1960,https://eurovision.tv/event/london-1960,Final,Austria,NA,Norway,1
1960,https://eurovision.tv/event/london-1960,Final,Austria,NA,Belgium,1
1960,https://eurovision.tv/event/london-1960,Final,Belgium,NA,France,3
1960,https://eurovision.tv/event/london-1960,Final,Belgium,NA,Germany,2
1960,https://eurovision.tv/event/london-1960,Final,Belgium,NA,Austria,1
1960,https://eurovision.tv/event/london-1960,Final,Belgium,NA,Norway,1
1960,https://eurovision.tv/event/london-1960,Final,Belgium,NA,United Kingdom,1
1960,https://eurovision.tv/event/london-1960,Final,Belgium,NA,The Netherlands,1
1960,https://eurovision.tv/event/london-1960,Final,Belgium,NA,Italy,1
1960,https://eurovision.tv/event/london-1960,Final,Denmark,NA,France,4
1960,https://eurovision.tv/event/london-1960,Final,Denmark,NA,Monaco,2
1960,https://eurovision.tv/event/london-1960,Final,Denmark,NA,Austria,2
1960,https://eurovision.tv/event/london-1960,Final,Denmark,NA,Norway,2
1960,https://eurovision.tv/event/london-1960,Final,France,NA,Germany,4
1960,https://eurovision.tv/event/london-1960,Final,France,NA,Monaco,3
1960,https://eurovision.tv/event/london-1960,Final,France,NA,Sweden,2
1960,https://eurovision.tv/event/london-1960,Final,France,NA,Norway,1
1960,https://eurovision.tv/event/london-1960,Final,Germany,NA,Monaco,7
1960,https://eurovision.tv/event/london-1960,Final,Germany,NA,France,1
1960,https://eurovision.tv/event/london-1960,Final,Germany,NA,Belgium,1
1960,https://eurovision.tv/event/london-1960,Final,Germany,NA,United Kingdom,1
1960,https://eurovision.tv/event/london-1960,Final,Italy,NA,Belgium,3
1960,https://eurovision.tv/event/london-1960,Final,Italy,NA,United Kingdom,2
1960,https://eurovision.tv/event/london-1960,Final,Italy,NA,Switzerland,1
1960,https://eurovision.tv/event/london-1960,Final,Italy,NA,Austria,1
1960,https://eurovision.tv/event/london-1960,Final,Italy,NA,The Netherlands,1
1960,https://eurovision.tv/event/london-1960,Final,Italy,NA,Luxembourg,1
1960,https://eurovision.tv/event/london-1960,Final,Italy,NA,Sweden,1
1960,https://eurovision.tv/event/london-1960,Final,Luxembourg,NA,United Kingdom,5
1960,https://eurovision.tv/event/london-1960,Final,Luxembourg,NA,France,1
1960,https://eurovision.tv/event/london-1960,Final,Luxembourg,NA,Italy,1
1960,https://eurovision.tv/event/london-1960,Final,Luxembourg,NA,Switzerland,1
1960,https://eurovision.tv/event/london-1960,Final,Luxembourg,NA,Monaco,1
1960,https://eurovision.tv/event/london-1960,Final,Luxembourg,NA,Denmark,1
1960,https://eurovision.tv/event/london-1960,Final,Monaco,NA,France,5
1960,https://eurovision.tv/event/london-1960,Final,Monaco,NA,Italy,2
1960,https://eurovision.tv/event/london-1960,Final,Monaco,NA,Germany,2
1960,https://eurovision.tv/event/london-1960,Final,Monaco,NA,United Kingdom,1
1960,https://eurovision.tv/event/london-1960,Final,Norway,NA,France,5
1960,https://eurovision.tv/event/london-1960,Final,Norway,NA,Denmark,2
1960,https://eurovision.tv/event/london-1960,Final,Norway,NA,United Kingdom,2
1960,https://eurovision.tv/event/london-1960,Final,Norway,NA,Switzerland,1
1960,https://eurovision.tv/event/london-1960,Final,Sweden,NA,France,4
1960,https://eurovision.tv/event/london-1960,Final,Sweden,NA,Belgium,4
1960,https://eurovision.tv/event/london-1960,Final,Sweden,NA,Germany,1
1960,https://eurovision.tv/event/london-1960,Final,Sweden,NA,United Kingdom,1
1960,https://eurovision.tv/event/london-1960,Final,Switzerland,NA,Norway,4
1960,https://eurovision.tv/event/london-1960,Final,Switzerland,NA,United Kingdom,4
1960,https://eurovision.tv/event/london-1960,Final,Switzerland,NA,France,1
1960,https://eurovision.tv/event/london-1960,Final,Switzerland,NA,Monaco,1
1960,https://eurovision.tv/event/london-1960,Final,The Netherlands,NA,United Kingdom,5
1960,https://eurovision.tv/event/london-1960,Final,The Netherlands,NA,France,2
1960,https://eurovision.tv/event/london-1960,Final,The Netherlands,NA,Italy,1
1960,https://eurovision.tv/event/london-1960,Final,The Netherlands,NA,Norway,1
1960,https://eurovision.tv/event/london-1960,Final,The Netherlands,NA,Sweden,1
1960,https://eurovision.tv/event/london-1960,Final,United Kingdom,NA,France,5
1960,https://eurovision.tv/event/london-1960,Final,United Kingdom,NA,Austria,2
1960,https://eurovision.tv/event/london-1960,Final,United Kingdom,NA,Monaco,1
1960,https://eurovision.tv/event/london-1960,Final,United Kingdom,NA,Norway,1
1960,https://eurovision.tv/event/london-1960,Final,United Kingdom,NA,Denmark,1
1961,https://eurovision.tv/event/cannes-1961,Final,Austria,NA,Luxembourg,4
1961,https://eurovision.tv/event/cannes-1961,Final,Austria,NA,Yugoslavia,3
1961,https://eurovision.tv/event/cannes-1961,Final,Austria,NA,Switzerland,2
1961,https://eurovision.tv/event/cannes-1961,Final,Austria,NA,Germany,1
1961,https://eurovision.tv/event/cannes-1961,Final,Belgium,NA,Norway,5
1961,https://eurovision.tv/event/cannes-1961,Final,Belgium,NA,Italy,4
1961,https://eurovision.tv/event/cannes-1961,Final,Belgium,NA,United Kingdom,1
1961,https://eurovision.tv/event/cannes-1961,Final,Denmark,NA,Italy,4
1961,https://eurovision.tv/event/cannes-1961,Final,Denmark,NA,United Kingdom,1
1961,https://eurovision.tv/event/cannes-1961,Final,Denmark,NA,Luxembourg,1
1961,https://eurovision.tv/event/cannes-1961,Final,Denmark,NA,Norway,1
1961,https://eurovision.tv/event/cannes-1961,Final,Denmark,NA,Germany,1
1961,https://eurovision.tv/event/cannes-1961,Final,Denmark,NA,Yugoslavia,1
1961,https://eurovision.tv/event/cannes-1961,Final,Denmark,NA,Finland,1
1961,https://eurovision.tv/event/cannes-1961,Final,Finland,NA,Luxembourg,3
1961,https://eurovision.tv/event/cannes-1961,Final,Finland,NA,Monaco,3
1961,https://eurovision.tv/event/cannes-1961,Final,Finland,NA,Norway,2
1961,https://eurovision.tv/event/cannes-1961,Final,Finland,NA,Denmark,1
1961,https://eurovision.tv/event/cannes-1961,Final,Finland,NA,France,1
1961,https://eurovision.tv/event/cannes-1961,Final,France,NA,Yugoslavia,2
1961,https://eurovision.tv/event/cannes-1961,Final,France,NA,Sweden,2
1961,https://eurovision.tv/event/cannes-1961,Final,France,NA,Spain,2
1961,https://eurovision.tv/event/cannes-1961,Final,France,NA,Finland,1
1961,https://eurovision.tv/event/cannes-1961,Final,France,NA,The Netherlands,1
1961,https://eurovision.tv/event/cannes-1961,Final,France,NA,Luxembourg,1
1961,https://eurovision.tv/event/cannes-1961,Final,France,NA,Italy,1
1961,https://eurovision.tv/event/cannes-1961,Final,Germany,NA,Luxembourg,5
1961,https://eurovision.tv/event/cannes-1961,Final,Germany,NA,France,4
1961,https://eurovision.tv/event/cannes-1961,Final,Germany,NA,The Netherlands,1
1961,https://eurovision.tv/event/cannes-1961,Final,Italy,NA,Luxembourg,3
1961,https://eurovision.tv/event/cannes-1961,Final,Italy,NA,Switzerland,2
1961,https://eurovision.tv/event/cannes-1961,Final,Italy,NA,The Netherlands,2
1961,https://eurovision.tv/event/cannes-1961,Final,Italy,NA,Finland,2
1961,https://eurovision.tv/event/cannes-1961,Final,Italy,NA,United Kingdom,1
1961,https://eurovision.tv/event/cannes-1961,Final,Luxembourg,NA,United Kingdom,8
1961,https://eurovision.tv/event/cannes-1961,Final,Luxembourg,NA,Belgium,1
1961,https://eurovision.tv/event/cannes-1961,Final,Luxembourg,NA,France,1
1961,https://eurovision.tv/event/cannes-1961,Final,Monaco,NA,Luxembourg,4
1961,https://eurovision.tv/event/cannes-1961,Final,Monaco,NA,Switzerland,2
1961,https://eurovision.tv/event/cannes-1961,Final,Monaco,NA,France,2
1961,https://eurovision.tv/event/cannes-1961,Final,Monaco,NA,Italy,1
1961,https://eurovision.tv/event/cannes-1961,Final,Monaco,NA,Spain,1
1961,https://eurovision.tv/event/cannes-1961,Final,Norway,NA,Denmark,8
1961,https://eurovision.tv/event/cannes-1961,Final,Norway,NA,Spain,2
1961,https://eurovision.tv/event/cannes-1961,Final,Spain,NA,United Kingdom,3
1961,https://eurovision.tv/event/cannes-1961,Final,Spain,NA,Luxembourg,2
1961,https://eurovision.tv/event/cannes-1961,Final,Spain,NA,France,2
1961,https://eurovision.tv/event/cannes-1961,Final,Spain,NA,Norway,1
1961,https://eurovision.tv/event/cannes-1961,Final,Spain,NA,Switzerland,1
1961,https://eurovision.tv/event/cannes-1961,Final,Spain,NA,Monaco,1
1961,https://eurovision.tv/event/cannes-1961,Final,Sweden,NA,Switzerland,4
1961,https://eurovision.tv/event/cannes-1961,Final,Sweden,NA,Denmark,2
1961,https://eurovision.tv/event/cannes-1961,Final,Sweden,NA,Luxembourg,1
1961,https://eurovision.tv/event/cannes-1961,Final,Sweden,NA,France,1
1961,https://eurovision.tv/event/cannes-1961,Final,Sweden,NA,Germany,1
1961,https://eurovision.tv/event/cannes-1961,Final,Sweden,NA,Spain,1
1961,https://eurovision.tv/event/cannes-1961,Final,Switzerland,NA,United Kingdom,7
1961,https://eurovision.tv/event/cannes-1961,Final,Switzerland,NA,Luxembourg,1
1961,https://eurovision.tv/event/cannes-1961,Final,Switzerland,NA,Yugoslavia,1
1961,https://eurovision.tv/event/cannes-1961,Final,Switzerland,NA,Monaco,1
1961,https://eurovision.tv/event/cannes-1961,Final,The Netherlands,NA,United Kingdom,3
1961,https://eurovision.tv/event/cannes-1961,Final,The Netherlands,NA,Switzerland,2
1961,https://eurovision.tv/event/cannes-1961,Final,The Netherlands,NA,Italy,1
1961,https://eurovision.tv/event/cannes-1961,Final,The Netherlands,NA,Yugoslavia,1
1961,https://eurovision.tv/event/cannes-1961,Final,The Netherlands,NA,Spain,1
1961,https://eurovision.tv/event/cannes-1961,Final,The Netherlands,NA,Denmark,1
1961,https://eurovision.tv/event/cannes-1961,Final,The Netherlands,NA,Luxembourg,1
1961,https://eurovision.tv/event/cannes-1961,Final,United Kingdom,NA,Finland,2
1961,https://eurovision.tv/event/cannes-1961,Final,United Kingdom,NA,France,2
1961,https://eurovision.tv/event/cannes-1961,Final,United Kingdom,NA,Switzerland,2
1961,https://eurovision.tv/event/cannes-1961,Final,United Kingdom,NA,Spain,1
1961,https://eurovision.tv/event/cannes-1961,Final,United Kingdom,NA,Austria,1
1961,https://eurovision.tv/event/cannes-1961,Final,United Kingdom,NA,Monaco,1
1961,https://eurovision.tv/event/cannes-1961,Final,United Kingdom,NA,Yugoslavia,1
1961,https://eurovision.tv/event/cannes-1961,Final,Yugoslavia,NA,Luxembourg,5
1961,https://eurovision.tv/event/cannes-1961,Final,Yugoslavia,NA,The Netherlands,2
1961,https://eurovision.tv/event/cannes-1961,Final,Yugoslavia,NA,Italy,1
1961,https://eurovision.tv/event/cannes-1961,Final,Yugoslavia,NA,Norway,1
1961,https://eurovision.tv/event/cannes-1961,Final,Yugoslavia,NA,Switzerland,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Austria,NA,Monaco,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Austria,NA,France,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Austria,NA,Luxembourg,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Belgium,NA,Luxembourg,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Belgium,NA,France,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Belgium,NA,Yugoslavia,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Denmark,NA,Sweden,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Denmark,NA,United Kingdom,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Denmark,NA,Germany,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Finland,NA,United Kingdom,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Finland,NA,Germany,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Finland,NA,Yugoslavia,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,France,NA,Yugoslavia,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,France,NA,Norway,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,France,NA,Monaco,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Germany,NA,France,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Germany,NA,Switzerland,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Germany,NA,Monaco,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Italy,NA,Yugoslavia,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Italy,NA,France,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Italy,NA,Denmark,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Luxembourg,NA,Monaco,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Luxembourg,NA,Italy,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Luxembourg,NA,France,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Monaco,NA,Luxembourg,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Monaco,NA,Germany,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Monaco,NA,France,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Norway,NA,France,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Norway,NA,Monaco,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Norway,NA,Finland,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Spain,NA,Luxembourg,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Spain,NA,France,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Spain,NA,United Kingdom,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Sweden,NA,France,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Sweden,NA,Yugoslavia,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Sweden,NA,Denmark,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Switzerland,NA,France,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Switzerland,NA,United Kingdom,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Switzerland,NA,Luxembourg,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,The Netherlands,NA,Monaco,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,The Netherlands,NA,Germany,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,The Netherlands,NA,Sweden,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,United Kingdom,NA,Finland,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,United Kingdom,NA,Germany,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,United Kingdom,NA,France,1
1962,https://eurovision.tv/event/luxembourg-1962,Final,Yugoslavia,NA,France,3
1962,https://eurovision.tv/event/luxembourg-1962,Final,Yugoslavia,NA,United Kingdom,2
1962,https://eurovision.tv/event/luxembourg-1962,Final,Yugoslavia,NA,Italy,1
1963,https://eurovision.tv/event/london-1963,Final,Austria,NA,Switzerland,5
1963,https://eurovision.tv/event/london-1963,Final,Austria,NA,Belgium,4
1963,https://eurovision.tv/event/london-1963,Final,Austria,NA,Denmark,3
1963,https://eurovision.tv/event/london-1963,Final,Austria,NA,France,2
1963,https://eurovision.tv/event/london-1963,Final,Austria,NA,Monaco,1
1963,https://eurovision.tv/event/london-1963,Final,Belgium,NA,Denmark,5
1963,https://eurovision.tv/event/london-1963,Final,Belgium,NA,Switzerland,4
1963,https://eurovision.tv/event/london-1963,Final,Belgium,NA,Italy,3
1963,https://eurovision.tv/event/london-1963,Final,Belgium,NA,Austria,2
1963,https://eurovision.tv/event/london-1963,Final,Belgium,NA,France,1
1963,https://eurovision.tv/event/london-1963,Final,Denmark,NA,Italy,5
1963,https://eurovision.tv/event/london-1963,Final,Denmark,NA,Switzerland,4
1963,https://eurovision.tv/event/london-1963,Final,Denmark,NA,United Kingdom,3
1963,https://eurovision.tv/event/london-1963,Final,Denmark,NA,Luxembourg,2
