year,events_urls,country,contestant,song,composed_by,written_by,language,lyrics
2020,https://eurovision.tv/event/rotterdam-2020,Croatia,Damir Kedžo,Divlji Vjetre,Ante Pecotić,Ante Pecotić,Croatian,"Jednom kad zaboraviš mi ime
I krevet hladan postane
Kao snijegom okovane zime
Kad ništa ne preostane
Ja ću te voljeti i tad
Divlji vjetre
U tišini ostavi me gdje sam
Svaka riječ sad prosta je
Odlazi i pusti me da ne znam
Kako čovjek postaje
Ono što nisi više
Divlji vjetre
Tu na moj prag
Uvelo lišće donesi mi
I kišu neka ostavi trag
Tuge u bojama jeseni
A činilo se
Zauvijek smo dušom i tijelom zaneseni
Ostaje mi
Tuga u bojama jeseni
Ono što nisi više...
Hladna kao
Kiša ledena
Kada voljet prestaneš
I kidaj grane
Nukrotivo
Ali prije nego nestaneš
Divlji vjetre
Tu na moj prag
Uvelo lišće donesi mi
I kišu neka ostavi trag
Tuge u bojama jeseni
A činilo se
Zauvijek smo dušom i tijelom zaneseni
Divlji vjetre
Ostaje mi
Tuga u bojama jeseni
Tuga u bojama jeseni
Tuga u bojama jeseni"
2020,https://eurovision.tv/event/rotterdam-2020,Croatia,Damir Kedžo,Divlji Vjetre,Ante Pecotić,Ante Pecotić,English (translated),"Once when you forget my name
and the bed becomes cold
like winters bound in snow,
when nothing remains
I will love you still,
wild wind.
In silence, leave me where I am
Every word is now hollow.
Leave and don't let me know
how a person becomes what they're not anymore.
Wild wind,
here on my doorstep bring me the withered leaves
and let the trace of sadness
leave rain in the colours of the fall.
And it seemed like we were forever intertwined
with our soul and body.
All I am left with is sadness in the colours of the fall.
(What you're not anymore)
Cold like frozen rain
when you stop loving.
Ripping the branches uncontrollably,
but before you disappear
Wild wind,
here on my doorstep bring me the withered leaves
and let the trace of sadness
leave rain in the colours of the fall.
And it seemed like we were forever intertwined
with our soul and body.
All I am left with is sadness in the colours of the fall.
Sadness in the colours of the fall,
sadness in the colours of the fall.
Wild wind,
here on my doorstep bring me the withered leaves
and let the trace of sadness
leave rain in the colours of the fall.
And it seemed like we were forever intertwined
with our soul and body.
All I am left with is sadness in the colours of the fall."
2020,https://eurovision.tv/event/rotterdam-2020,Cyprus,Sandro,Running,"Alfie Arcuri, Sebastian Rickards, Octavian Rasinariu, Sandro, Teo DK","Alfie Arcuri, Sebastian Rickards, Octavian Rasinariu, Sandro",English,"I don't feel like talking, let me sit here alone.
The phone's ca-alling, I can't pick it up
I'm tired of running from these demons (demons)
I'm tired of running from these demons, I can't see any more
I can't see anymore
But I keep on running, I keep on running
I keep on running away
Now I keep on running, I keep on running
I don't wanna fall again
Drowning out my memories, from the night before
Door's kno-o-cking, just leave me alone
Looking - losing
My energy - tripping
Anybody tow me back home
(Yeah yeah)
Standing naked
Putting on fake smiles
I don´t wanna be sad anymore
I don't wanna fall again
I'm not gonna fall again"
2020,https://eurovision.tv/event/rotterdam-2020,Czech Republic,Benny Cristo,Kemama,"Osama Hussain, Rudy Ray, Filip Zangi","Ben Cristovao, Charles Sarpong",English,"Ay, Benny Cristo and Glowsticks
Some of y'all already know
Haha
Kemama, you know
They can say what they want, you should let it go
'Cause tonight I will sho-o-ow love
I'll show them I can dance on my own
They say I lost my way
Lost my way? Never lost my way, oh, no
I know where I go, don't care what they say
Never care what they say, oh, yeah
I'm high, I'm lifted like sir Bob Marley
Bob Marley, oh, yeah
I'm 'bout to show them all I'mma kill it
Ali Boomaye, oh, yeah
I'mma put my heart on the stove
Let y'all feel the heat
You'll be playing with the fire
If you dance with me
I wasn't always like that
I wasn't born like that
I just work like that
24/7
Kemama, you know
They can say what they want, you should let it go, ey
'Cause tonight I will sho-o-ow love
I'll show them I can dance on my own
Kemama, you know
In this concrete jungle it was not easy to grow up, nah, nah, nah
But every time they pushed my down
I answered with this smile and I got up, yeah
Like you told me
I'mma put my heart on the stove
Let y'all feel the heat
You'll be playing with the fire
If you dance with me
I wasn't always like that
I wasn't born like that
I just work like that
24/7
Kemama, you know
They can say what they want, you should let it go, ey
'Cause tonight I will sho-o-ow love
I'll show them I can dance on my own
Kemama, you know
They can say what they want, you should let it go
'Cause tonight I will sho-o-ow love
I'll show them I can dance on my own (Ey, ey, ey, ey)
See, I don't care if you are not like me
I just came to dance
We should dance all night, babe, night, babe
And I don't care if they don't like me
All I do is dance, I don't care about their fighting
Why they fighting
Kemama, you know
They can say what they want, you should let it go, ey
'Cause tonight I will sho-o-ow love
I'll show them I can dance on my own
Kemama, you know
They can say what they want, you should let it go, ey
'Cause tonight I will sho-o-ow love
I'll show them I can dance on my own."
2020,https://eurovision.tv/event/rotterdam-2020,Denmark,Ben & Tan,YES,"Emil Adler Lei, Jimmy Jansson, Linnea Deb","Emil Adler Lei, Jimmy Jansson, Linnea Deb",English,"I was 6 feet under for the one and only
Spend the nights feeling bitter sad and lonely
Didn't realize how much fear controlled me
Until you came and loved me like I'm holy
Now I'm ready to give life one more chance
Hey
I think my heart is beating me to death
I have got an arrow through my chest
I am so in love I must confess
Say Yes Say Yes Say Yes
I think my heart is beating me to death
I have got an arrow through my chest
I am so in love I must confess
Say Yes Say Yes
Uhhh
Never thought I would be high on life but sober
Didn't think I would be able to turn this over
Let's make stories to talk about when we are older
Come and rest your pretty head upon my shoulder
Now I'm ready to give life one more chance
Hey
I think my heart is beating me to death
I have got an arrow through my chest
I am so in love I must confess
Say Yes Say Yes Say Yes
I think my heart is beating me to death
I have got an arrow through my chest
I am so in love I must confess
Say Yes Say Yes
Hey
Uhhhhhhh
Say Yes Say Yes Say Yes
Uhhhhhhh
Let's make stories to talk about when we are older
Mmmm, come and rest your pretty head upon my shoulder
Uhhhhhhh
Ohhhhhh
Say Yes Say Yes
Say yes
I think my heart is beating me to death
I have got an arrow through my chest
I am so in love I must confess
Say Yes Say Yes Say Yes
Say yes
I think my heart is beating me to death
I have got an arrow through my chest
I am so in love I must confess
Say Yes Say Yes
I think my heart is beating me to death
I have got an arrow through my chest
I am so in love so just say yes"
2020,https://eurovision.tv/event/rotterdam-2020,Estonia,Uku Suviste,What Love Is,Uku Suviste,Sharon Vaughn,English,"How mysterious this life can be
Full of beautiful surprises
I never really knew the man I thought was me
Dreams that I believed
Convinced my destiny
I was meant to be alone
But how can you know how a star looks
If you've never looked at the sky
I couldn't have told you what blue is
Till I looked into your eyes,
Or how soft the feel of a cloud is
'Till I was touching your skin
The world is a wonder of wonders I'd never seen
I never imagined the power
I never imagined the need
I never imagined what love is
now love is all I dream
How wonderful was the awakening
Now everything is the sunrise
Painted in sounds of your breathing
Colored by your sighs
I never knew
what it was to - love
Much too sensible too reasonable
Ever to believe in miracles
But now you've come to me
Changed my destiny
I'll never be alone
I never imagined the power
I never imagined the need
I never imagined what love is
now love is all I dream
How wonderful was the awakening
Now everything is the sunrise
Painted in sounds of your breathing
Colored by your sighs
I never imagined the power
I never imagined the need
I never imagined what love is
now love is all I dream
I never imagined the power
I never knew
what it was to - love"
2020,https://eurovision.tv/event/rotterdam-2020,Finland,Aksel,Looking Back,"Joonas Angeria, Whitney Phillips, Connor McDonough, Riley McDonough, Toby McDonough","Joonas Angeria, Whitney Phillips, Connor McDonough, Riley McDonough, Toby McDonough",English,"We would fall asleep
Talking ‘bout our dreams
Waiting for eighteen
Is never what it seems
We were young and naive
Didn't know what we need
We were in such a rush to grow up
We were restless, confused
Summer nights on the roof
Didn't know what was in front of us
Chasing the high life
Stuck in the low lights
But we never know what we have
Until it's over and we're looking back
Speeding through red lights
We had a good ride
But we never know what we have
Until it's over and we're looking back
All these memories
Made me feel at home
When I walk these streets
I'm the only one, I know
We were young and naive
Didn't know what we need
We were in such a rush to grow up
Now it's too late to save
All the seasons have changed
Didn't know what was in front of us
Chasing the high life
Stuck in the low lights
But we never know what we have
Until it's over and we're looking back
Speeding through red lights
We had a good ride
But we never know what we have
Until it's over and we're looking back
Chasing the high life
Stuck in the low lights
But we never know what we have
Until it's over and we're looking back
Speeding through red lights
We had a good ride
But we never know what we have
Until it's over and we're looking back
Yeah we never know what we have
Until it's over and we're looking back"
2020,https://eurovision.tv/event/rotterdam-2020,France,Tom Leeb,Mon Alliée (The Best In Me),"Peter Boström, Thomas G:son, John Lundvik","Peter Boström, Thomas G:son, John Lundvik, Tom Leeb, Amir Haddad, Lea Ivanne","French, English","La nuit comme un écho
Comme un reflet à tes mots
Dans mon coeur je lis
Un éternel récit
De toi, de toi, de toi, de toi
You, you are the best in me
Au fond de moi j’ai compris
You are, you are, you are
Et tout ce qu’on s’est jamais dit
Revient me hanter jour et nuit
You are, you are, you are
You are the best in me
J’irai au bout des sens
Faire voyager mon innocence
Pour qu’ils donnent vie
A tout ce qu’on s’est promis
You are, you are, you are, you are
You, you are the best in me
Au fond de moi j’ai compris
You are, you are, you are
Et tout ce qu’on s’est jamais dit
Revient me hanter jour et nuit
You are, you are, you are
You are the best in me
On est liés mon alliée
Même si le temps devait s’arrêter
Sans toi, je perds le meilleur de moi…
You are the best in me
You are, you are, you are
You are the best in me
Au fond de moi j’ai compris
You are, you are, you are
In every breath I breath
For ever eternally
You are, you are, you are
You are the best in me
You are the best in me…"
2020,https://eurovision.tv/event/rotterdam-2020,Georgia,Tornike Kipiani,Take Me As I Am,Tornike Kipiani,Tornike Kipiani,English,"How do you want me to talk, like an Englishman?
Where do you want me to dress like an Italian?
Now, do you want me to dance like a Spanish guy?
I guess you don't love me.
No, you don't love me.
I love you
Ti amo
Tue quiero
#Takemeasiam
But you don't love me,
Why don't you love me?
So tell me, why do you want me to smell like a French homme?
Or tell me, why do you want me to play like a German?
Why don't you want me to be, just the way I am?
I guess you don't love me,
Why don't you love me?
Je t'aime
Ich liebe dich
But you don't love me,
Why you don't love me?
I love you, I love you"
2020,https://eurovision.tv/event/rotterdam-2020,Germany,Ben Dolic,Violent Thing,"Borislav Milanov, Peter St. James, Dag Lundberg, Jimmy Thorén, Connor Martin","Borislav Milanov, Peter St. James, Dag Lundberg",English,"Got that thing that I can't deny
Killing me soft with the big brown eyes
Such a violent thing, would you let me know
Knockin' me down like a domino
You know that I'm, right here, I'm working on love
I'm waiting on something I need
I think that you, you know, you know what I want
You got me on the edge of my seat
Oh don't tell your mama
Whatchu' doin' tonight
Twenty-four hours ago you got that look in your eyes
Don't need your number
Cus I know you'll be there
Happen all night and the beat don't lie we're crystal clear
Cus if I got you with me tonight
Feeling like I'm feeling tonight
Don't tell your mama
Oooh you're such a violent thing
Oooh you're such a violent thing
Shooting high we're getting low
Guns and roses all alone
And I wanna hear what you gotta say
But you won't give me no audio
You know that I'm, right here, I'm working on love
I'm waiting on something I need
I think that you, you know, you know what I want
You got me on the edge of my seat
Oh don't tell your mama
Whatchu' doin' tonight
Twenty-four hours ago you got that look in your eyes
Don't need your number
Cus I know you'll be there
Happen all night and the beat don't lie we're crystal clear
Cus if I got you with me tonight
Feeling like I'm feeling tonight
Don't tell your mama
Oooh you're such a violent thing
Oh don't tell your mama
Whatchu' doin' tonight
Heyy
If I got you…
Cus if I got you with me tonight
Feeling like I'm feeling tonight
Don't tell your mama
Oooh you're such a violent thing
Oooh you're such a violent thing
Don't tell your mama
Oooh you're such a violent thing"
2020,https://eurovision.tv/event/rotterdam-2020,Greece,Stefania,SUPERG!RL,"Dimίtris Kontόpoulos, Arcade","Dimίtris Kontόpoulos, Arcade, Sharon Vaughn",English,"Keep the phone booth, don't need a supercar
No x-ray vision to show them who we are
I got the power, climb up the tower
Save all humanity on zero hour
Na-na-nothing can stop me, no-nobody can hold me down
Standing in the light, it's a new world, let me be your supergirl
Na-na-nothing can stop me, no-nobody can hold us down
Fighting in the dark over true love, let me be your supergirl
I'm your supergirl
Fighting from the heart
I'm your supergirl, supergirl, unana
In this crazy world, crazy world, unana
I'm your supergirl, supergirl, unana
Fighting from the heart, from the heart, unana
There's no wonder it takes a woman
To be a hero more than a human
To overflow your heart with electricity
Find through the shadows your true identity
Na-na-nothing can stop me, no-nobody can hold me down
Standing in the light, it's a new world, let me be your supergirl
Na-na-nothing can stop me, no-nobody can hold us down
Fighting in the dark over true love, let me be your supergirl
I'm your supergirl
Fighting from the heart
I'm your supergirl, supergirl, unana
In this crazy world, crazy world, unana
I'm your supergirl, supergirl, unana
Fighting from the heart, from the heart, unana
Fly, give me a signal and I'll fly
On a supersonic high
Like a hero in the sky
I will stand by your side
I'm your supergirl, supergirl, unana
In this crazy world, crazy world, unana
I'm your supergirl, supergirl, unana
Fighting from the heart
I'm your supergirl, supergirl, unana
In this crazy world, crazy world, unana
I'm your supergirl, supergirl, unana
Fighting from the heart
I'm your supergirl"
2020,https://eurovision.tv/event/rotterdam-2020,Iceland,Daði og Gagnamagnið,Think About Things,Daði Freyr,Daði Freyr,Icelandic,"Svona, síðan svona hér.
Bara ef allir dansa með.
Hæ, við erum komin
úr framtíðinni og líka utan úr geim.
Því eitthvað þarf að breytast
ef þið viljið halda í þennan heim.
Við höfum séð
hvað getur skeð,
það gæti verið stutt í dánarbeð.
En ef við dönsum saman,
hreyfum líkamann,
það væri gaman. Dansinn er:
Svona, síðan svona hér.
Og eftir það kemur þetta.
Bara ef að allir dansa með
þá ætti þetta mögulega að sleppa.
Þetta er allt annað
nú þurfum við að snúa við blaðinu.
Þvílíkt vel mannað
við erum öll í Gagnamagninu.
Og hvað með það,
þó sumir muni afneita að
þið hafið engan annan felustað.
En ef við dönsum saman,
hreyfum líkamann,
það væri gaman. Dansinn er:
Svona, síðan svona hér.
Og eftir það kemur þetta.
Bara ef að allir dansa með
þá ætti þetta mögulega að sleppa.
Við erum líka að tala um þig og þig og þig
og þig og þig og þig.
Svona, síðan svona hér.
Og eftir það kemur þetta.
Bara ef að allir dansa með
þá ætti þetta mögulega að sleppa."
2020,https://eurovision.tv/event/rotterdam-2020,Iceland,Daði og Gagnamagnið,Think About Things,Daði Freyr,Daði Freyr,English,"Baby I can't wait to know.
Believe me I'll always be there so.
Though I know I love you
I find it hard to see how you feel about me.
'Cause I don't understand you .
Oh you are yet to learn how to speak.
When we first met
I will never forget.
'Cause even though I didn't know you yet.
We were bound together then and forever
and I could never let you go.
Baby I can't wait to know
what do you think about things.
Believe me I will always be there so
you can tell me anything and I'll listen.
When we are together 
there isn't anywhere that I would rather be.
Three birds of a feather 
I just hope you enjoy our company.
It's been some time
and though hard to define,
as if the stars have started to align.
We are bound together,
now and forever
and I will never let you go.
Baby I can't wait to know
what do you think about things.
Believe me I will always be there so
you can tell me anything and I'll listen.
I might even know what to say
but either way at least I'll be there.
Baby I can't wait to know
what do you think about things.
Believe me I will always be there so
you can tell me anything and I'll listen."
2020,https://eurovision.tv/event/rotterdam-2020,Ireland,Lesley Roy,Story Of My Life,"Lesley Roy, Robert Marvin, Catt Gravitt, Tom Shapiro","Lesley Roy, Catt Gravitt, Tom Shapiro",English,"Everybody told me that I'd never be someone,
I'm not a puppet on a string no, no I'm not,
Everybody said that I was always breaking rules,
Why would I ever wanna put myself inside a box.
I don't care, what they say,
And who are they, anyway.
The story of my life, it's mine,
I made it on my own, that's right,
And now I sing, na na na na na na, Hey! Hey! Hey!
My life, it's mine, my my life it's mine.
They said if I was blonde that I could make it so I did it,
Then they said you're almost perfect but you talk too much. HA!
Try to dumb it down a little, make sure that you're in the middle,
Rock it all you want but make it pop enough!
I don't care, what they say,
And who are they, anyway,
The story of my life, It's Mine,
I made it on my own, that's right
And now I sing, na na na na na na, Hey! Hey! Hey!
My life it's mine, my, my life it's mine,
It's the story of my life, that's right,
There's more to me than meets the eye,
And now I sing, na na na na na na, Hey! Hey! Hey!
My Life it's mine my, my life it's mine.
My life yeah I'm gonna be me, yeah I'm gonna believe it's right!
My life yeah I gotta be me, yeah I gotta believe it's right!
The story of my life, it's mine,
I made it on my own, that's right
And now I sing, na na na na na na, Hey! Hey! Hey!
My life it's mine, my my life it's mine,
It's the story of my life, that's right,
There's more to me than meets the eye,
And now I sing, na na na na na na, Hey! Hey! Hey!
My life it's mine, my my life it's mine.
I don't care,
What you say."
